customer_id,recency,frequency,avg_order_value
12346.0,325,1,77183.6
12347.0,1,7,615.71
12348.0,74,4,449.31
12349.0,18,1,1757.55
12350.0,309,1,334.4
12352.0,35,8,313.26
12353.0,203,1,89.0
12354.0,231,1,1079.4
12355.0,213,1,459.4
12356.0,22,3,937.14
12357.0,32,1,6207.67
12358.0,1,2,584.03
12359.0,57,4,1593.14
12360.0,51,3,887.35
12361.0,286,1,189.9
12362.0,2,10,522.62
12363.0,109,2,276.0
12364.0,7,4,328.28
12365.0,290,2,320.69
12367.0,3,1,168.9
12370.0,50,4,886.42
12371.0,44,2,943.98
12372.0,71,3,432.68
12373.0,310,1,364.6
12374.0,24,1,742.93
12375.0,10,2,228.75
12377.0,314,2,814.06
12378.0,129,1,4008.62
12379.0,81,2,426.12
12380.0,21,4,681.2
12381.0,4,5,369.06
12383.0,184,5,370.11
12384.0,28,2,292.64
12386.0,337,2,200.95
12388.0,15,6,463.44
12390.0,79,1,549.84
12391.0,21,1,460.89
12393.0,71,4,395.65
12394.0,63,2,636.24
12395.0,18,12,251.55
12397.0,35,2,1204.95
12398.0,45,1,1635.66
12399.0,118,4,277.16
12401.0,302,1,84.3
12402.0,322,1,225.6
12403.0,49,1,427.7
12405.0,148,1,1710.39
12406.0,21,2,1707.65
12407.0,49,5,341.62
12408.0,32,5,577.71
12409.0,78,3,3690.89
12410.0,308,2,346.66
12412.0,74,3,408.96
12413.0,66,3,252.7
12414.0,216,3,187.47
12415.0,23,21,5948.31
12417.0,2,9,405.46
12418.0,112,1,668.58
12420.0,63,1,600.39
12421.0,15,4,201.76
12422.0,95,3,267.85
12423.0,0,8,232.41
12424.0,162,2,880.48
12425.0,77,1,777.2
12426.0,194,1,582.73
12427.0,21,3,275.27
12428.0,25,9,884.05
12429.0,8,4,937.6
12430.0,42,1,256.4
12431.0,35,15,432.5
12432.0,42,5,1011.86
12433.0,0,7,1910.84
12434.0,84,2,403.07
12435.0,79,2,3914.94
12436.0,99,1,509.01
12437.0,1,18,275.08
12438.0,13,2,1453.42
12441.0,366,1,173.55
12442.0,2,1,172.06
12444.0,20,5,1001.09
12445.0,21,1,133.4
12446.0,57,1,1002.31
12447.0,242,1,476.49
12448.0,43,1,449.45
12449.0,21,4,1016.82
12450.0,155,2,98.94
12451.0,10,5,1807.1
12452.0,16,2,215.28
12453.0,133,1,707.09
12454.0,55,1,3528.34
12455.0,72,6,411.14
12456.0,43,3,1060.35
12457.0,65,7,337.6
12458.0,70,2,473.7
12461.0,93,2,413.44
12462.0,18,2,594.79
12463.0,52,4,336.2
12464.0,9,8,151.51
12465.0,16,2,371.1
12468.0,187,2,364.77
12471.0,1,30,660.8
12472.0,31,7,938.87
12473.0,28,5,787.71
12474.0,16,18,409.77
12475.0,53,1,723.38
12476.0,15,11,619.67
12477.0,22,6,2203.29
12478.0,3,1,680.99
12479.0,10,1,527.2
12480.0,27,4,820.41
12481.0,22,10,559.63
12483.0,16,8,310.62
12484.0,32,6,756.95
12488.0,9,3,432.89
12489.0,335,1,334.93
12490.0,4,10,541.79
12491.0,38,1,460.4
12492.0,62,2,131.61
12493.0,165,2,216.87
12494.0,15,7,178.01
12497.0,81,1,1043.1
12498.0,20,3,134.57
12500.0,22,11,387.07
12501.0,336,1,2169.39
12502.0,95,5,744.77
12504.0,17,2,241.02
12506.0,232,1,73.5
12507.0,133,3,434.94
12508.0,25,2,199.14
12509.0,283,1,176.5
12510.0,142,2,491.28
12512.0,65,2,69.02
12513.0,112,1,612.29
12514.0,266,1,1017.68
12515.0,352,1,383.7
12516.0,77,2,656.03
12517.0,27,5,500.57
12518.0,0,5,411.38
12519.0,63,1,340.84
12520.0,78,5,526.85
12521.0,142,1,599.68
12522.0,38,2,96.36
12523.0,18,11,162.71
12524.0,8,8,560.72
12526.0,0,3,438.89
12527.0,81,3,116.24
12528.0,8,6,322.25
12530.0,59,4,415.57
12531.0,14,1,125.22
12532.0,29,1,349.83
12534.0,130,1,1089.18
12535.0,91,2,358.18
12536.0,42,3,4200.61
12538.0,28,1,363.95
12539.0,21,4,1392.09
12540.0,19,17,788.25
12541.0,29,3,327.06
12544.0,35,1,372.7
12545.0,74,2,500.2
12546.0,46,2,580.75
12547.0,197,2,103.9
12548.0,165,1,95.2
12550.0,78,1,964.83
12551.0,357,1,168.0
12552.0,38,2,218.91
12553.0,7,10,369.23
12556.0,49,2,301.86
12557.0,15,5,2398.19
12558.0,7,1,269.96
12559.0,310,2,280.86
12560.0,4,3,711.34
12561.0,302,1,238.85
12562.0,7,7,540.25
12564.0,260,1,456.9
12565.0,288,1,145.92
12566.0,85,1,351.65
12567.0,22,10,940.13
12569.0,1,32,128.9
12571.0,39,2,259.8
12572.0,8,2,510.21
12573.0,226,1,160.54
12574.0,315,1,218.45
12576.0,35,5,263.17
12577.0,34,3,219.27
12578.0,20,2,1397.26
12579.0,77,1,440.42
12580.0,246,1,415.7
12581.0,39,1,197.71
12582.0,238,2,255.68
12583.0,2,15,485.43
12584.0,3,9,259.79
12585.0,233,2,1020.05
12586.0,16,1,196.94
12587.0,7,1,144.0
12588.0,38,1,214.9
12589.0,28,2,323.34
12590.0,210,2,4932.13
12591.0,316,1,452.85
12592.0,91,2,218.8
12593.0,108,3,139.37
12594.0,37,10,333.82
12596.0,50,2,309.14
12597.0,18,4,952.8
12598.0,9,8,377.88
12599.0,28,7,147.51
12600.0,28,10,259.9
12601.0,189,5,115.41
12602.0,58,1,153.12
12603.0,21,1,739.2
12604.0,78,2,127.09
